quote,emotion
"Everything will be okay","sad"
"You are not alone","sad"
"This feeling is temporary","sad"
"You’ve survived tough days before","sad"
"It’s okay to not be okay","sad"
"Take it one step at a time","sad"
"Healing takes time","sad"

"Keep smiling","happy"
"You deserve happiness","happy"
"Today is your day","happy"
"Enjoy the little things","happy"
"Smile, life is beautiful","happy"
"Stay positive and happy","happy"
"You make the world brighter","happy"

"You are loved","love"
"You matter more than you think","love"
"Love yourself first","love"
"You are worthy of love","love"
"Kindness always wins","love"

"Stay calm and breathe","neutral"
"Take a deep breath","neutral"
"Pause and reset","neutral"
"Everything is under control","neutral"
"Balance brings peace","neutral"

"Control your anger","angry"
"Take a moment before reacting","angry"
"Anger doesn’t solve problems","angry"
"Stay calm, stay strong","angry"
"Peace is more powerful","angry"

"Face your fears bravely","fear"
"You are stronger than fear","fear"
"Courage is stronger than fear","fear"
"Fear is temporary","fear"
"Believe in yourself","fear"

"Life is full of surprises","surprise"
"Expect the unexpected","surprise"
"Every day brings something new","surprise"
"Embrace the unknown","surprise"
"Good things are coming","surprise"
